Asset,Description,Pointsize,Currency,Class,Region,IB Sym,Data Symbol,Exchange,IB Mult,MC Symbol,Data
BRE,BREUSD currency,100000,USD,FX,US,BRE,,CME,100000,"@BR#C	",1995
BTP,Italian 10 year bond BTP,1000,EUR,Bond,EMEA,BTP,,EUREX,1000,"BTP#C	",2009
CAC,French equity index CAC40,10,EUR,Equity,EMEA,CAC40,FCE,MONEP,10,"MT#C	",1999
CAD,CADUSD currency,100000,USD,FX,US,CAD,6C,CME,100000,@CD#C,1995
COCOA,Cocoa NY,10,USD,Ags,US,CC,,NYBOT,10,@CC#C,1993
CHF,CHFUSD currency,125000,USD,FX,US,CHF,6S,CME,125000,@SF#C,1995
COTTON2,Cotton #2,500,USD,Ags,US,CT,CT,NYBOT,500,"@CT#C	",1994
ROBUSTA,Robusta Coffee,10,USD,Ags,EMEA,D,LRC,ICEEUSOFT,10,"LRC#C	",2005
DAX,Micro DAX 30 Index (Deutsche Aktien Xchange 30),1,EUR,Equity,EMEA,DAX,FDAX,EUREX,1,XG#C,1990
EURO600,Dow Jones STOXX 600 Index,50,EUR,Equity,EMEA,DJ600,,EUREX,50,"XXP#C	",2011
MILLWHEAT,Milling Wheat Futures,50,EUR,Ags,EMEA,EBM,,MATIF,50,"PM#C	",2005
AEX,Netherlands equity index AEX,200,EUR,Equity,EMEA,EOE,,FTA,200,AEX,2006
EUR,EURUSD currency,125000,USD,FX,US,EUR,6E,CME,125000,@EU#C,1999
BUND,German 10 year bond Bund,1000,EUR,Bond,EMEA,GBL,,EUREX,1000,"BD#C	",1998
GBP,GBPUSD currency,62500,USD,FX,US,GBP,6B,CME,62500,@BP#C,1995
BUXL,German Buxl 15 to 30 year bond,1000,EUR,Bond,EMEA,GBX,,EUREX,1000,"BX#C	",2005
FEEDCOW,Feeder cattle,500,USD,Ags,US,GF,GF,CME,500,"@GF#C	",2001
LEANHOG,Lean hogs,400,USD,Ags,US,HE,HE,CME,400,"@HE#C	",1994
US-MATERIAL,Materials Select Sector Index,100,USD,Sector,US,IXB,,CME,100,"@XAB#C	",2011
US-ENERGY,Energy Select Sector Index,100,USD,Sector,US,IXE,,CME,100,"@XAE#C	",2011
US-INDUSTRY,Industrial Select Sector Index,100,USD,Sector,US,IXI,,CME,100,"@XAI#C	",2011
US-FINANCE,Financial Select Sector Index,250,USD,Sector,US,IXM,,CME,250,"@XAF#C	",2011
US-STAPLES,Consumer Staples Select Sector Index,100,USD,Sector,US,IXR,,CME,100,"@XAP#C	",2011
US-PROPERTY,Real Estate Select Sector Index,250,USD,Sector,US,IXRE,,CME,250,"@XAR#C	",2016
US-UTILS,Utilities Select Sector Index,100,USD,Sector,US,IXU,,CME,100,"@XAU#C	",2011
US-HEALTH,Health Care Select Sector Index,100,USD,Sector,US,IXV,,CME,100,"@XAV#C	",2011
JPY,JPYUSD currency,12500000,USD,FX,US,JPY,6J,CME,12500000,@JY#C,1995
COFFEE,Coffee,375,USD,Ags,US,KC,KC,NYBOT,375,@KC#C,1994
REDWHEAT,Hard Red Winter Wheat -KCBOT-,50,USD,Ags,US,KE,KE,CBOT,50,"@KW#C	",1994
LIVECOW,Live cattle,400,USD,Ags,US,LE,LE,CME,400,"@LE#C	",1994
MSCIASIA,MSCI Emerging Markets Asia,100,USD,Equity,EMEA,M1MS,,EUREX,100,"MEA#C	",2015
RUSSELL,Micro E-Mini Russell 2000 Index,5,USD,Equity,US,M2K,RTY,CME,5,"@RTY#C	",2003
AUD_micro,AUDUSD micro,10000,USD,FX,US,M6A,6A,CME,10000,"@M6A#C	",2009
CRUDE_W_micro,micro WTI crude oil,100,USD,OilGas,US,MCL,WBS,NYMEX,100,"@QM#C	",2004
SP500_micro,S&P 500 micro,5,USD,Equity,US,MES,ES,CME,5,"@ES#C	",1998
GOLD_micro,Gold micro,10,USD,Metals,US,MGC,GC,COMEX,10,"@QO#C	",2006
COPPER-micro,Copper micro,2500,USD,Metals,US,MHG,HG,COMEX,2500,"@QC#C	",2006
NASDAQ_micro,NASDAQ micro,2,USD,Equity,US,MNQ,NQ,CME,2,"@NQ#C	",1999
GASOILINE,RBOB Gasoline US (Micro),4200,USD,OilGas,US,MRB,RB,NYMEX,4200,QRB#C,1984
MXP,MEXUSD currency,500000,USD,FX,US,MXP,6M,CME,500000,@PX#C,1995
DOW,Micro E-Mini Dow Jones Industrial Average Index,0.5,USD,Equity,US,MYM,YM,CBOT,0.5,@YM,2002
FANG,NYSE FANG index,5,USD,Equity,US,NYFANG,,NYBOT,5,"@FNG#C	",2017
NZD,NZDUSD currency,100000,USD,FX,US,NZD,6N,CME,100000,@NE#C,1997
PLAT,Platinum,50,USD,Metals,US,PL,PL,NYMEX,50,QPL#C,1994
GAS_US_mini,Natural gas US mini,2500,USD,OilGas,US,QG,,NYMEX,2500,QNG#C,1993
GILT,UK 10 year bonds Long Gilt,1000,GBP,Bond,EMEA,R,,ICEEU,1000,"LG#C	",2005
YENEUR,YENEUR currency,125000,JPY,FX,US,RY,,CME,125000,@RY#C,1999
SUGAR11,Sugar #11,1120,USD,Ags,US,SB,SB,NYBOT,1120,"@SB#C	",1994
IRON,SGX TSI Iron Ore Futures,100,USD,Metals,ASIA,SCI,,SGX,100,SFE#C,2015
SILVER,NYMEX Silver Index,1000,USD,Metals,US,SI,SI,COMEX,1000,QSI#C,1991
SMI,Micro Swiss equity index SMI,1,CHF,Equity,EMEA,SMI,FSMI,EUREX,10,"SW#C	",2004
EU-UTILS,Dow Jones STOXX 600 Utilities,50,EUR,Sector,EMEA,SX6P,,EUREX,50,"STU#C	",2007
EU-BANKS,Dow Jones Euro STOXX Banks Index,50,EUR,Sector,EMEA,SX7E,,EUREX,50,TA#C,2007
EU-TECH,Dow Jones STOXX 600 Technology,50,EUR,Sector,EMEA,SX8P,,EUREX,50,"TX#C	",2007
EU-AUTO,Dow Jones STOXX 600 Automobiles & Parts,50,EUR,Sector,EMEA,SXAP,,EUREX,50,"TF#C	",2007
EU-HEALTH,Dow Jones STOXX 600 Healthcare,50,EUR,Sector,EMEA,SXDP,,EUREX,50,"TJ#C	",2007
EU-OIL,Dow Jones STOXX 600 Oil & Gas,50,EUR,Sector,EMEA,SXEP,,EUREX,50,"SEE#C	",2007
EU-INSURE,Dow Jones STOXX 600 Insurance,50,EUR,Sector,EMEA,SXIP,,EUREX,50,"STN#C	",2007
EU-BASIC,Dow Jones STOXX 600 Basic Resources Index,50,EUR,Sector,EMEA,SXPP,,EUREX,50,"STS#C	",2007
US30,Ultra Treasury Bond,1000,USD,Bond,US,UB,UB,CBOT,1000,"@US#C	",1984
V2X,Vol European equity V2X,100,EUR,Vol,EMEA,V2TX,,EUREX,100,FVS#C,2009
VIX_mini,Vol US equity VIX mini,100,USD,Vol,US,VXM,VX,CFE,100,"@VX#C	",2005
SUGAR_WHITE,White sugar,50,USD,Ags,EMEA,W,LSU,ICEEUSOFT,50,"QW#C	",1997
FTSECHINAA,FTSE/Xinhua China A50,1,USD,Equity,ASIA,XINA50,SCN,SGX,1,CN#C,2006
SOYBEAN_mini,Soybean mini,10,USD,Ags,US,YK,ZS,CBOT,10,"@YK#C	",2007
WHEAT_mini,Wheat mini,10,USD,Ags,US,YW,ZW,CBOT,10,"@YW#C	",2008
CORN,Corn,50,USD,Ags,US,ZC,ZC,CBOT,50,@C#C,1995
SOYOIL,Soybean oil,600,USD,Ags,US,ZL,ZL,CBOT,600,"@BO#C	",1984
